leaid,zip,state,county_fips,lat,lon
1602460,83656,ID,16027,43.623051,-116.708527
1602490,83252,ID,16071,42.18389,-112.520465
1602520,83544,ID,16035,46.67257,-115.6535
1602550,83660,ID,16027,43.623051,-116.708527
1602580,83661,ID,16075,44.00274,-116.748655
1602610,97910,OR,41045,43.1877,-117.603976
1602640,83201,ID,16005,42.692938,-112.228986
1602670,83877,ID,,,
1602700,83855,ID,16057,46.81892,-116.730974
1602730,83647,ID,16039,43.394826,-115.470751
1602760,83349,ID,16063,42.986181,-114.153899
1602790,83443,ID,16051,43.796965,-112.318588
1602820,83271,ID,16077,42.694126,-112.844407
1602850,83467,ID,16059,44.928789,-113.887841
1602910,83274,ID,16011,43.216357,-112.399206
1602940,83352,ID,16063,42.986181,-114.153899
1602970,83221,ID,16011,43.216357,-112.399206
1603000,83276,ID,16029,42.786273,-111.544171
1603030,83464,ID,16059,44.928789,-113.887841
1603060,83861,ID,16009,47.218451,-116.633541
1603090,83448,ID,16065,43.789709,-111.65655
1603120,83428,ID,16019,43.395171,-111.621878
1603180,83422,ID,16081,43.760994,-111.211765
1603210,83302,ID,16083,42.352309,-114.665639
1603240,83301,ID,16083,42.352309,-114.665639
1603270,83335,ID,16053,42.691171,-114.263009
1603300,83867,ID,16079,47.347694,-115.885092
1603330,83672,ID,16087,44.448213,-116.79783
1603360,83355,ID,16047,42.973185,-114.82142
1603400,83450,ID,16051,43.796965,-112.318588
1603420,83232,ID,16041,42.173589,-111.822955
1603480,83676,ID,16027,43.623051,-116.708527
1603511,83330,ID,16047,42.973185,-114.82142
3000001,59442,MT,30015,47.886837,-110.436189
3000002,59932,MT,30029,48.314696,-114.054319
